voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,polarization_uc_cm2
7.5,-1.2674e-09,2.463706234682866e-11,2.367362576285561e-12,2.22696997705431e-11,8.332345028179699
7.75,-2.0226e-09,7.756674012556922e-11,3.705825347743611e-12,7.386091477782562e-11,9.318581618730315
8.0,-3.0518e-09,2.2247968125736138e-10,5.532743697760481e-12,2.1694693755960091e-10,10.20820029512024
8.25,-4.5241e-09,4.909575039637858e-10,7.445842774043631e-12,4.835116611897421e-10,10.803229116530149
8.5,-8.7346e-09,1.5176194594122874e-09,1.1326774206856113e-11,1.5062926852054314e-09,11.830113324910778
8.75,-1.16194e-08,4.116065173721128e-09,1.6368784957022236e-11,4.099696388764106e-09,12.72704700865166
9.0,-1.67453e-08,1.121187548883048e-08,2.364819160788837e-11,1.1188227297222594e-08,13.65951464344835
9.25,-2.59294e-08,2.7024445079175886e-08,3.262278637276104e-11,2.6991822292803127e-08,14.460520564531352
9.5,-4.13482e-08,6.566035248308753e-08,4.5087234738830746e-11,6.56152652483487e-08,15.296612796243185
9.25,-3.75224e-08,5.051489948775157e-08,4.09814967525095e-11,5.0473917990999063e-08,15.296612796243185
9.0,-3.06008e-08,3.8799982716255697e-08,3.7224421950368894e-11,3.8762758294305326e-08,15.296612796243185
8.75,-2.42547e-08,2.9752791937414325e-08,3.3788429079762795e-11,2.9719003508334565e-08,15.296612796243185
8.5,-1.87059e-08,2.2776995927027256e-08,3.0647968038024584e-11,2.274634795898923e-08,15.296612796243185
8.25,-1.49223e-08,1.7407087037397457e-08,2.7779380640679713e-11,1.7379307656756774e-08,15.296612796243185
8.0,-1.10291e-08,1.3280218876458042e-08,2.516077027692069e-11,1.3255058106181121e-08,15.296612796243185
7.75,-8.439e-09,1.0113992112915718e-08,2.2771879923662082e-11,1.0091220232992057e-08,15.296612796243185
7.5,-6.5918e-09,7.68895594024882e-09,2.0593978018839677e-11,7.66836196222998e-09,15.296612796243185
7.25,-5.2496e-09,5.8348432366734754e-09,1.8609751722444305e-11,5.816233484951031e-09,15.296612796243185
7.0,-4.0049e-09,4.419758020354897e-09,1.6803207120152872e-11,4.4029548132347445e-09,15.296612796243185
6.75,-2.8406e-09,3.3416941849198675e-09,1.515957594941937e-11,3.3265346089704486e-09,15.296612796243185
6.5,-2.1706e-09,2.5218926025558424e-09,1.366522845157262e-11,2.50822737410427e-09,15.296612796243185
6.25,-1.6734e-09,1.8996458729084933e-09,1.2307591975912841e-11,1.8873382809325804e-09,15.296612796243185
6.0,-1.2556e-09,1.4282414145296413e-09,1.1075074983048938e-11,1.4171663395465923e-09,15.296612796243185
