sweep_name,voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
1st2KB_B64-T51,-7.75,9.60346385747712e-12,-8.02830788968329e-12,-1.6872366849743963e-12,-1.2554752258563162e-44,-6.3410712047088925e-12,-9.668259285652661
1st2KB_B64-T51,-8.0,1.34826455555626e-11,-8.489480916270328e-12,-1.9479418549507803e-12,-1.1157436444675477e-44,-6.541539061319547e-12,-10.366595029407831
1st2KB_B64-T51,-8.25,1.91266273652513e-11,-8.339243137421439e-12,-1.600319673110801e-12,-8.106235727970356e-45,-6.738923464310638e-12,-11.499619442370864
1st2KB_B64-T51,-8.5,3.62615978910519e-11,-8.830655850544588e-12,-1.89105608454522e-12,-7.305010010633942e-45,-6.939599765999368e-12,-12.168569722691366
1st2KB_B64-T51,-8.75,8.20692888647834e-11,-8.878220024298254e-12,-1.7402090489118043e-12,-5.67792800072596e-45,-7.13801097538645e-12,-13.156840505187551
1st2KB_B64-T51,-9.0,1.37386643728199e-10,-9.033638998236287e-12,-1.6966921699773787e-12,-4.5678856867546444e-45,-7.336946828258907e-12,-14.071149877329342
1st2KB_B64-T51,-9.25,2.77503853229888e-10,-9.464479341450138e-12,-1.927212454572643e-12,-4.023022908895629e-45,-7.537266886877495e-12,-14.790321385266157
1st2KB_B64-T51,-9.5,6.29410579211509e-10,-9.989196866507825e-12,-2.251347898090528e-12,-3.6038336203917605e-45,-7.737848968417297e-12,-15.472554314266944
1st2KB_B64-T51,-9.25,5.32822119758691e-10,-8.657790611298767e-12,-1.1253631272935612e-12,-2.9304438521209773e-45,-7.532427484005205e-12,-15.472554314266944
1st2KB_B64-T51,-9.0,4.35702390833015e-10,-7.878843934538456e-12,-5.51837934945336e-13,-2.370210306736625e-45,-7.32700599959312e-12,-15.472554314266944
1st2KB_B64-T51,-8.75,2.98526925401887e-10,-7.38660995595632e-12,-2.650254407752913e-13,-1.9060590942282245e-45,-7.121584515181029e-12,-15.472554314266944
1st2KB_B64-T51,-8.5,2.49925496964565e-10,-7.040586659897894e-12,-1.2442362912895087e-13,-1.5232314161540505e-45,-6.916163030768943e-12,-15.472554314266944
1st2KB_B64-T51,-8.25,1.89208260170659e-10,-6.767719907636548e-12,-5.697836127969605e-14,-1.2090007259135669e-45,-6.710741546356852e-12,-15.472554314266944
1st2KB_B64-T51,-8.0,1.30652433316669e-10,-6.530706466997999e-12,-2.5386405053236815e-14,-9.524211461975474e-46,-6.505320061944763e-12,-15.472554314266944
1st2KB_B64-T51,-7.75,9.89884771374072e-11,-6.310870140649757e-12,-1.0971563117084513e-14,-7.441040042184847e-46,-6.2998985775326726e-12,-15.472554314266944
1st2KB_B64-T51,-7.5,7.3611679252128e-11,-6.0990600831489315e-12,-4.582990028349727e-15,-5.760196331881855e-46,-6.094477093120582e-12,-15.472554314266944
1st2KB_B64-T51,-7.25,5.35862534900566e-11,-5.89089786419888e-12,-1.8422554903871916e-15,-4.413218520632721e-46,-5.889055608708492e-12,-15.472554314266944
1st2KB_B64-T51,-7.0,4.15831188926852e-11,-5.68434295698787e-12,-7.088326914644111e-16,-3.3419277664184144e-46,-5.683634124296405e-12,-15.472554314266944
1st2KB_B64-T51,-6.75,2.67706221773745e-11,-5.478471947356735e-12,-2.5930747241809714e-16,-2.4970583528037858e-46,-5.478212639884317e-12,-15.472554314266944
1st2KB_B64-T51,-6.5,1.89723532023622e-11,-5.272880574741825e-12,-8.941926959845481e-17,-1.8370506313551854e-46,-5.272791155472226e-12,-15.472554314266944
1st2KB_B64-T51,-6.25,1.26037678557789e-11,-5.0673984109168024e-12,-2.8739856666086066e-17,-1.3269893073324652e-46,-5.0673696710601366e-12,-15.472554314266944
1st2KB_B64-T51,-6.0,9.42270046710991e-12,-4.861956664913125e-12,-8.47826507647289e-18,-9.376712546904872e-47,-4.861948186648049e-12,-15.472554314266944
1st2KB_B64-T51,-5.75,6.47078918225574e-12,-4.656528948426285e-12,-2.246190325254688e-18,-6.447884479230847e-47,-4.6565267022359595e-12,-15.472554314266944
1st2KB_B64-T51,-5.5,4.76890315431744e-12,-4.451105735118285e-12,-5.172944152523728e-19,-4.2821263501420324e-47,-4.45110521782387e-12,-15.472554314266944
1st2KB_B64-T51,-5.25,3.31491865207534e-12,-4.245683831640427e-12,-9.822864546893633e-20,-2.713685194916138e-47,-4.2456837334117825e-12,-15.472554314266944
1st2KB_B64-T51,-5.0,2.35540731884087e-12,-4.040262262970537e-12,-1.3970843719971004e-20,-1.6067910382866348e-47,-4.040262248999693e-12,-15.472554314266944
1st2KB_B64-T51,-4.75,1.44523986961992e-12,-3.834840765791067e-12,-1.2034662053719357e-21,-8.504612844680414e-48,-3.8348407645876006e-12,-15.472554314266944
1st2KB_B64-T51,-4.5,9.43292536095819e-13,-3.629419280206043e-12,-3.05298970213897e-23,-3.5130604174632935e-48,-3.629419280175513e-12,-15.472554314266944
1st2KB_B64-T51,-4.25,5.99687075171496e-13,-3.4239977957592404e-12,4.1816745266573014e-24,-2.2951176622202328e-48,-3.4239977957634223e-12,-15.472554314266944
1st2KB_B64-T51,-4.0,3.90380165259802e-13,-3.218576310895124e-12,4.562068260026765e-22,-6.670746759308202e-48,-3.218576311351331e-12,-15.472554314266944
1st2KB_B64-T51,-3.75,1.37269563120837e-13,-3.013154820092155e-12,6.847089335432585e-21,-1.331464446738866e-47,-3.0131548269392445e-12,-15.472554314266944
1st2KB_B64-T51,-3.5,9.5923309985195e-14,-2.807733287845454e-12,5.468170125620929e-20,-2.315191896151405e-47,-2.807733342527155e-12,-15.472554314266944
1st2KB_B64-T51,-3.25,2.54115372949788e-14,-2.6023115465522423e-12,3.115628262158431e-19,-3.7225261273766765e-47,-2.6023118581150682e-12,-15.472554314266944
1st2KB_B64-T51,-3.0,-3.11265742998154e-13,-2.396888944958747e-12,1.4287442280752876e-18,-5.680738568541306e-47,-2.3968903737029753e-12,-15.472554314266944
1st2KB_B64-T51,-2.75,-4.56009775567316e-14,-2.1914632732625494e-12,5.616028338622705e-18,-8.345416826774984e-47,-2.191468889290888e-12,-15.472554314266944
1st2KB_B64-T51,-2.5,7.33966720408742e-14,-1.986027756067195e-12,1.9648811602105437e-17,-1.190583563674819e-46,-1.9860474048787974e-12,-15.472554314266944
1st2KB_B64-T51,-2.25,4.88035921896411e-14,-1.780563207237043e-12,6.271322966423432e-17,-1.659097289772405e-46,-1.780625920466707e-12,-15.472554314266944
1st2KB_B64-T51,-2.0,-1.0155241312584e-13,-1.5750186918046184e-12,1.8574424999953342e-16,-2.2676365037964306e-46,-1.575204436054618e-12,-15.472554314266944
1st2KB_B64-T51,-1.75,-2.23017066511115e-13,-1.3692660634048706e-12,5.168882376585034e-16,-3.0491938057439014e-46,-1.3697829516425292e-12,-15.472554314266944
1st2KB_B64-T51,-1.5,3.04683510951413e-14,-1.1629973107957982e-12,1.3641564346435143e-15,-4.0430946082351474e-46,-1.1643614672304417e-12,-15.472554314266944
1st2KB_B64-T51,-1.25,-6.970530245674e-14,-9.555007220352378e-13,3.4392607831146e-15,-5.296015771902619e-46,-9.589399828183524e-13,-15.472554314266944
1st2KB_B64-T51,-1.0,-1.78400209101953e-13,-7.451875287077832e-13,8.330969698479912e-15,-6.863144358376764e-46,-7.535184984062631e-13,-15.472554314266944
1st2KB_B64-T51,-0.75,-3.78850108836287e-13,-5.286176883771785e-13,1.9479325616993374e-14,-8.809493400603943e-46,-5.480970139941719e-13,-15.472554314266944
1st2KB_B64-T51,-0.5,4.73721200613085e-14,-2.985429592793137e-13,4.413257030276849e-14,-1.1211393349414343e-45,-3.4267552958208224e-13,-15.472554314266944
1st2KB_B64-T51,-0.25,-2.24641201365498e-13,-4.006118669048865e-14,9.71928584795045e-14,-1.415817980116102e-45,-1.3725404516999313e-13,-15.472554314266944
1st2KB_B64-T51,0.0,-2.45360996060581e-13,7.404505858315122e-12,2.086248870614047e-13,7.1277135320116204e-12,6.816743924209594e-14,-15.472554314266944
1st2KB_B64-T51,0.25,-2.74119594211031e-13,4.108151920460118e-12,4.18823680667898e-13,3.4161125994593005e-12,2.732156403329195e-13,-15.41993084390624
