voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
-1.75,-2.230171e-13,-2.2429767377457396e-12,-1.5050922241375021e-12,-1.0635177521886647e-39,-7.378845136082374e-13,-15.804451537338801
-1.5,3.04684e-14,-1.9790458562134307e-12,-1.3520097824699065e-12,-1.228526996562482e-39,-6.270360737435244e-13,-15.804451537338801
-1.25,-6.97053e-14,-1.7381019287570632e-12,-1.2219142948782516e-12,-1.410599806777946e-39,-5.161876338788116e-13,-15.804451537338801
-1.0,-1.784002e-13,-1.5194990650182417e-12,-1.1141598710041434e-12,-1.6110383608855807e-39,-4.0533919401409847e-13,-15.804451537338801
-0.75,-3.788501e-13,-1.3229555553070102e-12,-1.0284648011576255e-12,-1.8312184966950082e-39,-2.944907541493845e-13,-15.804451537338801
-0.5,4.73721e-14,-1.1485717626836345e-12,-9.649294483989625e-13,-2.0725939320446352e-39,-1.8364231428467204e-13,-15.804451537338801
-0.25,-2.246412e-13,-9.968528332001524e-13,-9.240589587801938e-13,-2.336700432429885e-39,-7.279387441995855e-14,-15.804451537338801
0.0,-2.45361e-13,4.094051491159255e-13,0.0,3.7135058367117246e-13,3.8054565444753074e-14,-15.804451537338801
0.25,-2.741196e-13,1.2807614719168758e-12,9.013330820761815e-13,2.3069324215133064e-13,1.4873514768936379e-13,-15.760598645371548
0.5,-3.022379e-13,1.1731627182215838e-12,8.231813043895673e-13,9.193175238751623e-14,2.5804966144450033e-13,-15.359859638540817
0.75,-2.939467e-13,1.13367676217707e-12,7.386224970272348e-13,2.838622578545018e-14,3.666680393643851e-13,-14.777254776831557
1.0,-3.256465e-13,1.1289610103283823e-12,6.481789814352197e-13,6.321310715640195e-15,4.744607181775225e-13,-13.978935587089726
1.25,-2.92595e-13,1.1690167042973749e-12,5.857228836668073e-13,1.2261230886242411e-15,5.820676975419435e-13,-13.132102318225835
1.5,-3.842566e-13,1.2320046172832416e-12,5.422964652216545e-13,2.0376233911954337e-16,6.895043897224674e-13,-12.240781432569243
1.75,-4.29687e-13,1.3284778089557548e-12,5.311039444713167e-13,3.56109085593747e-17,7.973382535758788e-13,-11.453221856365861
2.0,-6.957439e-13,1.4462843489559184e-12,5.408015476543748e-13,6.3466120896666175e-18,9.054764546894539e-13,-10.745170550227385
2.25,-7.248421e-13,1.5352593713810536e-12,5.225793333769626e-13,6.442430031764035e-19,1.012679393761088e-12,-9.792781541331065
2.5,-5.852308e-13,1.6357364077151321e-12,5.156612919037384e-13,5.716739624640225e-20,1.1200750586439976e-12,-8.890742252489058
2.75,-6.896741e-13,1.7214502389555166e-12,4.944719376535949e-13,2.7783111928679895e-21,1.2269782985236104e-12,-7.860056671281509
3.0,-8.102244e-13,1.877482629417205e-12,5.416382799800815e-13,3.138603508557007e-22,1.3358443491232635e-12,-7.342156428060868
3.25,-9.473983e-13,1.9711328010193356e-12,5.281865709772899e-13,5.572287529630378e-24,1.4429462300364736e-12,-6.363365921865548
3.5,-1.0878e-12,2.0814320840590542e-12,5.309325400723202e-13,2.5603644727251167e-26,1.5504995439867086e-12,-5.502512535182432
3.75,-1.2874e-12,2.170049787234613e-12,5.126083980084989e-13,5.802268157638241e-26,1.657441389226056e-12,-4.481912624609102
4.0,-1.5745e-12,2.3047303925517094e-12,5.39058288837457e-13,4.945470543782286e-24,1.765672103709307e-12,-3.7980304851931623
4.25,-1.9015e-12,2.39206442893344e-12,5.194909282594449e-13,3.296288338834311e-22,1.8725735003443664e-12,-2.7668633553717985
4.5,-2.8518e-12,2.509482170289582e-12,5.291832713349079e-13,5.775885013227895e-21,1.980298893178789e-12,-1.950965668129058
4.75,-4.2229e-12,2.606514553040429e-12,5.191065340645921e-13,9.692510458706761e-20,2.087407922050732e-12,-0.9740425699305575
5.0,-5.9038e-12,2.7349605001940883e-12,5.396097253301728e-13,8.018262997023144e-19,2.1953499730376157e-12,-0.2147469395255412
5.25,-1.24506e-11,2.8545068138880986e-12,5.515816357042696e-13,6.611356982474047e-18,2.3029185668268465e-12,0.6421145811444104
5.5,-2.90187e-11,2.9966141164143904e-12,5.856127659414811e-13,3.8458779858268817e-17,2.410962891693051e-12,1.3746911065235095
5.75,-5.5206e-11,3.1111755445187563e-12,5.930762501924135e-13,3.244309397135833e-16,2.517774863386629e-12,2.429220549569295
6.0,-1.029157e-10,3.2809230830059373e-12,6.535859932244316e-13,1.538095505699892e-15,2.6257989942758058e-12,3.1670727621197288
6.25,-1.608126e-10,3.4678612310355957e-12,7.262322122323183e-13,8.432884351607933e-15,2.7331961344516697e-12,4.068726629897664
6.5,-2.316351e-10,3.726517045159023e-12,8.462119988232589e-13,3.9479304146003094e-14,2.840825742189761e-12,4.909648224180935
6.75,-3.75288e-10,4.114828526434599e-12,1.0230683827543207e-12,1.4269318062502758e-13,2.9490669630552506e-12,5.590785565684131
7.0,-6.157396e-10,5.257556594570667e-12,1.3252656365197146e-12,8.768598380702539e-13,3.055431119980698e-12,6.762306853581124
7.25,-8.639535e-10,8.248025301940166e-12,1.7450258379203167e-12,3.339845625735249e-12,3.163153838284601e-12,7.578903263335745
7.5,-1.2674e-09,1.6965568329086215e-11,2.322633489256901e-12,1.1371816543462257e-11,3.271118296367057e-12,8.332345028179699
7.75,-2.0226e-09,5.4464713388949454e-11,3.2992482993809e-12,4.7787273413988923e-11,3.3781916755796298e-12,9.318581618730315
8.0,-3.0518e-09,1.8176438970287488e-10,4.651265249275891e-12,1.7362748957021845e-10,3.48563488338053e-12,10.20820029512024
8.25,-4.5241e-09,4.6299227382609347e-10,6.109377813584187e-12,4.532886903069392e-10,3.594205705570015e-12,10.803229116530149
8.5,-8.7346e-09,1.7798842055690247e-09,8.962604411507376e-12,1.7672204776613878e-09,3.7011234961295766e-12,11.830113324910778
8.75,-1.16194e-08,5.877445890461862e-09,1.2694749182069626e-11,5.860942602575834e-09,3.808538703958984e-12,12.72704700865166
