voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,polarization_uc_cm2
-2.5,7.33967e-14,-8.632117771046008e-13,4.7096063931521406e-14,-9.103078410361223e-13,-15.804451537338801
-2.25,4.88036e-14,-1.1233092255235776e-12,6.972215591831341e-14,-1.193031381441891e-12,-15.804451537338801
-2.0,-1.015524e-13,-1.439770371953301e-12,1.0033136887794338e-13,-1.5401017408312444e-12,-15.804451537338801
-1.75,-2.230171e-13,-1.8217567500638543e-12,1.4102740809983232e-13,-1.962784158163687e-12,-15.804451537338801
-1.5,3.04684e-14,-2.27958132584986e-12,1.9434002101674601e-13,-2.473921346866606e-12,-15.804451537338801
-1.25,-6.97053e-14,-2.8248236340916343e-12,2.6329354074388723e-13,-3.0881171748355215e-12,-15.804451537338801
-1.0,-1.784002e-13,-3.4704537523846003e-12,3.514844622313019e-13,-3.821938214615902e-12,-15.804451537338801
-0.75,-3.788501e-13,-4.230965746783907e-12,4.631690509607843e-13,-4.6941347977446915e-12,-15.804451537338801
-0.5,4.73721e-14,-5.122521200633785e-12,6.033620794376278e-13,-5.725883280071412e-12,-15.804451537338801
-0.25,-2.246412e-13,-6.163103438098859e-12,7.779478898274822e-13,-6.941051327926341e-12,-15.804451537338801
0.0,-2.45361e-13,3.055779011411317e-11,9.938050926176616e-13,2.9563985021495515e-11,-15.804451537338801
0.25,-2.741196e-13,3.468908777707976e-11,1.2444620507348406e-12,3.3444625726344915e-11,-15.760598645371548
0.5,-3.022379e-13,2.7634705222595655e-11,1.4115351799252114e-12,2.622317004267044e-11,-15.359859638540817
0.75,-2.939467e-13,2.0744900943358995e-11,1.5249209817436785e-12,1.9219979961615318e-11,-14.777254776831557
1.0,-3.256465e-13,1.4478883205367376e-11,1.5579819071682435e-12,1.2920901298199132e-11,-13.978935587089726
1.25,-2.92595e-13,9.946903019314313e-12,1.5720596704646964e-12,8.374843348849618e-12,-13.132102318225835
1.5,-3.842566e-13,6.779190866398651e-12,1.5683193194467374e-12,5.2108715469519134e-12,-12.240781432569243
1.75,-4.29687e-13,4.892274143565835e-12,1.6065884999010179e-12,3.285685643664817e-12,-11.453221856365861
2.0,-6.957439e-13,3.7617044614536656e-12,1.6791858834959394e-12,2.082518577957726e-12,-10.745170550227385
2.25,-7.248421e-13,2.7868999767286384e-12,1.6494771902227047e-12,1.137422786505934e-12,-9.792781541331065
2.5,-5.852308e-13,2.2406355871222094e-12,1.6411036280023282e-12,5.995319591198813e-13,-8.890742252489058
2.75,-6.896741e-13,1.8496128117008646e-12,1.5801031468336698e-12,2.695096648671946e-13,-7.860056671281509
3.0,-8.102244e-13,1.8845062361376043e-12,1.7330847144843912e-12,1.5142152165321295e-13,-7.342156428060868
3.25,-9.473983e-13,1.7433804900481707e-12,1.6912221716061537e-12,5.215831844201707e-14,-6.363365921865548
3.5,-1.0878e-12,1.712862267049236e-12,1.7002945479276517e-12,1.2567719121584379e-14,-5.502512535182432
3.75,-1.2874e-12,1.6572006436242096e-12,1.6415982116152839e-12,1.5602432008925862e-14,-4.481912624609102
4.0,-1.5745e-12,1.776592250060238e-12,1.7260538533380503e-12,5.0538396722187887e-14,-3.7980304851931623
4.25,-1.9015e-12,1.8155254300952539e-12,1.662128706699517e-12,1.533967233957368e-13,-2.7668633553717985
4.5,-2.8518e-12,2.0172461920878853e-12,1.6902018387635934e-12,3.270443533242922e-13,-1.950965668129058
4.75,-4.2229e-12,2.3393579712033685e-12,1.6500184290930462e-12,6.893395421103225e-13,-0.9740425699305575
5.0,-5.9038e-12,2.907289861019368e-12,1.702123984634408e-12,1.20516587638496e-12,-0.2147469395255412
