sweep_name,segment_label,voltage_v,experimental_current_a,model_total_a,model_thermionic_weighted_a,model_pf_fe_weighted_a,model_pf_il_weighted_a,model_background_weighted_a,base_thermionic_a,base_pf_fe_a,base_pf_il_a,base_background_a,current_floor_a,weight_thermionic,weight_pf_fe,weight_pf_il,weight_background,top_effective_barrier_ev,bottom_effective_barrier_ev,pf_fe_activation_ev,pf_il_activation_ev
1st2KB_B64-T51,0→-V,-9.0,1.37386643728199e-10,1.1706387855042527e-10,7.697767111968623e-11,3.9189340036597737e-11,1.309167100842485e-17,8.268867434687184e-13,2.0350469068121196e-15,9.484803132562955e-14,8.38080719627078e-15,3.405361832418383e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.020584930517523414,0.34356180366566913,0.277810201644856,0.20895245036373394
1st2KB_B64-T51,0→-V,-9.25,2.77503853229888e-10,2.278779018629464e-10,1.7629347982159956e-10,5.0664581104159666e-11,1.7558509381394697e-17,8.498558196761828e-13,4.660643737120549e-15,1.226209926265557e-13,1.1240313149076441e-14,3.499955216652227e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.009595432017751593,0.3221399392951436,0.27187914995406204,0.20207159171849476
1st2KB_B64-T51,0→-V,-9.5,6.29410579211509e-10,4.654727495060227e-10,3.9927910715585765e-10,6.52508264469964e-11,2.3448283410078115e-17,8.728248958836472e-13,1.0555680629891534e-14,1.579233644937193e-13,1.5010730273997587e-14,3.594548600886071e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.0,0.3010056558591012,0.26602772052948187,0.1952831061610979
1st2KB_B64-T51,-V→0,-9.25,5.32822119758691e-10,4.137395930926246e-10,5.772762668933881e-17,1.9644130927338784e-17,4.136695480676375e-10,9.422789371197392e-20,4.660643737120549e-15,1.226209926265557e-13,1.1240313149076441e-14,3.499955216652227e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.009595432017751593,0.3221399392951436,0.27187914995406204,0.20207159171849476
1st2KB_B64-T51,-V→0,-9.0,4.35702390833015e-10,3.085031165733856e-10,2.5206481069570987e-17,1.519484637704268e-17,3.084331085213754e-10,9.168119388192057e-20,2.0350469068121196e-15,9.484803132562955e-14,8.38080719627078e-15,3.405361832418383e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.020584930517523414,0.34356180366566913,0.277810201644856,0.20895245036373394
1st2KB_B64-T51,-V→0,-8.75,2.98526925401887e-10,2.2900713976743243e-10,1.0879447404688964e-17,1.1706601706127061e-17,2.2893714953324722e-10,8.913449405186722e-20,8.783529016854649e-16,7.307399481293807e-14,6.220726819828381e-15,3.310768448184539e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.03172815069704393,0.3652833181953399,0.28382421719688566,0.215929558819561
1st2KB_B64-T51,-V→0,-8.5,2.49925496964565e-10,1.6920367822114478e-10,4.639275958695254e-18,8.98166376323555e-18,1.6913369695461567e-10,8.658779422181387e-20,3.7455224961916096e-16,5.606460933088014e-14,4.59573523531404e-15,3.216175063950695e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.04303172970663438,0.3873174207023826,0.28992477869186617,0.22300707280729198
1st2KB_B64-T51,-V→0,-8.25,1.89208260170659e-10,1.2440870947353152e-10,1.953479588154218e-18,6.86101470052854e-18,1.2433873301599456e-10,8.404109439176052e-20,1.57714303016812e-16,4.282726663328002e-14,3.3785573586158e-15,3.121581679716851e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.05450279651969925,0.40967800771732343,0.2961157336492968,0.23018945599360685
1st2KB_B64-T51,-V→0,-8.0,1.30652433316669e-10,9.100711786569129e-11,8.1176733447545285e-19,5.217143804737064e-18,9.093714419628417e-11,8.149439456170717e-20,6.553808913333996e-17,3.256602974082344e-14,2.4709625893995555e-15,3.026988295483007e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.06614902452018956,0.4323800369918984,0.30240122340800724,0.23748151291715647
1st2KB_B64-T51,-V→0,-7.75,9.89884771374072e-11,6.621883037300579e-11,3.326957203036693e-19,3.948114835372918e-18,6.614885845424595e-11,7.894769473165382e-20,2.6860210857871073e-17,2.4644600563280934e-14,1.7974102443675277e-15,2.932394911249163e-16,0.012386191681968002,0.00016020202174651542,36802.31525414633,0.0002692259982746427,6.996755900158662e-14,0.07797869154816706,0.45543964454606223,0.3087857155328546,0.2448884265849139
