index,segment_index,voltage_v,polarization_uc_cm2,polarization_change_uc_cm2,screening_charge_uc_cm2,fe_field_mv_cm,il_field_mv_cm,residual_mv_cm,converged,used_fallback,j_total_uA_per_um2,j_thermionic_uA_per_um2,j_tunneling_uA_per_um2,j_pf_uA_per_um2,j_tat_uA_per_um2,j_sclc_uA_per_um2,top_barrier_ev,bottom_barrier_ev,tunneling_transmission,trap_tunneling_transmission
30,0,-12.5,-21.010511366717758,0.0,-23.940335898581655,-2.068106495074605,-29.07358326879609,-0.7762722329164885,1,0,-1.1795822687692784e-14,-9.195007150725459e-49,-1.0970667868224894e-76,-1.1795822687692784e-14,-3.38754882028923e-63,0.0,3.159059966483827,3.1935723627693897,3.161656731847123e-86,2.2082341833488786e-66
31,0,-12.25,-21.010511366717758,0.0,-23.86480395705848,-2.0147899578039272,-28.981855892846536,-0.7929336508135807,1,0,-1.0731227947377128e-14,-8.825869705237506e-49,-5.159827319343086e-79,-1.0731227947377128e-14,-5.374166359099632e-65,0.0,3.1601192130764915,3.195342422497357,1.487020022419964e-88,3.5652011810563103e-68
32,0,-12.0,-21.010511366717758,0.0,-23.78927201553531,-1.9614734205332487,-28.890128516896983,-0.809595068710664,1,0,-9.746984178878519e-15,-8.471001721407988e-49,-1.8142391927796988e-81,-9.746984178878519e-15,-6.817135148081061e-67,0.0,3.161180137253808,3.197136061486069,5.228488936071435e-91,4.603880690479778e-70
33,0,-11.75,-21.010511366717758,0.0,-23.713740074012133,-1.9081568832625668,-28.798401140947423,-0.8262564866077484,1,0,-8.838075842027708e-15,-8.129872071073683e-49,-4.656712942366659e-84,-8.838075842027708e-15,-6.767012826405142e-69,0.0,3.1622427470117525,3.1989542479284934,1.3420265748046395e-93,4.653815525119436e-72
34,0,-11.5,-21.010511366717758,0.0,-23.63820813248896,-1.8548403459918887,-28.706673764997866,-0.8429179045048397,1,0,-7.999746098981971e-15,-7.801968662258629e-49,-8.452217800720998e-87,-7.999746098981971e-15,-5.168887183318887e-71,0.0,3.1633070504100216,3.200798018147785,2.4358600250844657e-96,3.621139228031334e-74
35,0,-11.25,-21.010511366717758,0.0,-23.56267619096579,-1.8015238087212104,-28.614946389048313,-0.8595793224019236,1,0,-7.227485688771091e-15,-7.486797782131952e-49,-1.057757046928094e-89,-7.227485688771091e-15,-2.9514765916766724e-73,0.0,3.164373055572747,3.2026684835043056,3.0483692772845374e-99,2.107050871735343e-76
36,0,-11.0,-21.010511366717758,0.0,-23.48714424944261,-1.7482072714505292,-28.523219013098753,-0.876240740299018,1,0,-6.517022206347669e-15,-7.183883461807127e-49,-8.813045622506323e-93,-6.517022206347669e-15,-1.2332162799623046e-75,0.0,3.165440770689221,3.20456683822989,2.53984765149776e-102,8.97469628854742e-79
37,0,-10.75,-21.010511366717758,0.0,-23.411612307919437,-1.6948907341798505,-28.431491637149197,-0.89290215819611,1,0,-5.864309773526637e-15,-6.892766862287208e-49,-4.6873147021954676e-96,-5.864309773526637e-15,-3.639675627560576e-78,0.0,3.166510204014627,3.2064943683462173,1.3508457516433944e-105,2.701167495511284e-81
38,0,-10.5,-21.010511366717758,0.0,-23.336080366396263,-1.6415741969091726,-28.339764261199647,-0.9095635760931832,1,0,-5.265519089543499e-15,-6.613005680872824e-49,-1.5306213512614124e-99,-5.265519089543499e-15,-7.388787936492446e-81,0.0,3.167581363870786,3.208452461856469,4.411125518748939e-109,5.594230853055611e-84
39,0,-10.25,-21.010511366717758,0.0,-23.260548424873086,-1.5882576596384912,-28.248036885250087,-0.9262249939902779,1,0,-4.717027849298903e-15,-6.344173577379466e-49,-2.913334114321021e-103,-4.717027849298903e-15,-9.884559862596701e-84,0.0,3.1686542586469137,3.210442620439781,8.395990586262556e-113,7.638002983039414e-87
