index,segment_index,voltage_v,polarization_uc_cm2,polarization_change_uc_cm2,screening_charge_uc_cm2,fe_field_mv_cm,il_field_mv_cm,residual_mv_cm,converged,used_fallback,j_total_uA_per_um2,j_thermionic_uA_per_um2,j_tunneling_uA_per_um2,j_pf_uA_per_um2,j_tat_uA_per_um2,j_sclc_uA_per_um2,top_barrier_ev,bottom_barrier_ev,tunneling_transmission,trap_tunneling_transmission
21,0,-14.75,-113.02319117300496,0.0,-117.22559641414023,-2.966396615089549,0.0,2.966396615089549,1,0,-4.8013591494155856e-14,-6.866714178906572e-49,-3.225235657486452e-92,-4.8013591494155856e-14,-1.333682564139421e-81,0.0,3.166608102295536,3.166608102295536,9.2948653179265e-102,6.724907736486209e-85
22,0,-14.5,-113.02319117300496,0.0,-117.14718757789716,-2.911049333454771,0.0,2.911049333454771,1,0,-4.440757164605393e-14,-6.471745853111392e-49,-3.7701721471385123e-94,-4.440757164605393e-14,-3.223008750112448e-83,0.0,3.1681395694905055,3.1681395694905055,1.0865327701468106e-103,1.6481555078035534e-86
23,0,-14.25,-113.02319117300496,0.0,-117.06877874165403,-2.855702051819965,0.0,2.855702051819965,1,0,-4.10343043693713e-14,-6.0960451696577175e-49,-3.7117446738530683e-96,-4.10343043693713e-14,-6.732828601675534e-85,0.0,3.169685665974712,3.169685665974712,1.0696944503237503e-105,3.492400870807697e-88
24,0,-14.0,-113.02319117300496,0.0,-116.99036990541093,-2.8003547701851734,0.0,2.8003547701851734,1,0,-3.7880963526873965e-14,-5.7388114602064524e-49,-3.04489190960318e-98,-3.7880963526873965e-14,-1.2101163781096177e-86,0.0,3.1712468191713175,3.1712468191713175,8.775129389913264e-108,6.368439007870071e-90
25,0,-13.75,-113.02319117300496,0.0,-116.91196106916784,-2.7450074885503812,0.0,2.7450074885503812,1,0,-3.4935325819885634e-14,-5.3992726502813506e-49,-2.0524597324287878e-100,-3.4935325819885634e-14,-1.846521290097423e-88,0.0,3.172823477731319,3.172823477731319,5.91502104322533e-110,9.861242177714177e-92
26,0,-13.5,-113.02319117300496,0.0,-116.83355223292472,-2.6896602069155753,0.0,2.6896602069155753,1,0,-3.218574650998339e-14,-5.076684371825519e-49,-1.127010146731694e-102,-3.218574650998339e-14,-2.375289476890483e-90,0.0,3.174416113039525,3.174416113039525,3.247951045528115e-112,1.2875383334424396e-93
27,0,-13.25,-113.02319117300496,0.0,-116.75514339668163,-2.6343129252807973,0.0,2.6343129252807973,1,0,-2.962113598554182e-14,-4.770329099944133e-49,-4.975278122974437e-105,-2.962113598554182e-14,-2.542538483785629e-92,0.0,3.1760252208607436,3.1760252208607436,1.4338344537686798e-114,1.39918523036328e-95
28,0,-13.0,-113.02319117300496,0.0,-116.67673456043852,-2.578965643645992,0.0,2.578965643645992,1,0,-2.723093714745005e-14,-4.479515313244202e-49,-1.740913637656573e-107,-2.723093714745005e-14,-2.2449952913762806e-94,0.0,3.177651323142485,3.177651323142485,5.017170684752457e-117,1.2545497861159916e-97
29,0,-12.75,-113.02319117300496,0.0,-116.59832572419542,-2.5236183620111996,0.0,2.5236183620111996,1,0,-2.5005103589057638e-14,-4.2035766771996834e-49,-4.752847403185149e-110,-2.5005103589057638e-14,-1.6105206257838383e-96,0.0,3.179294969992743,3.179294969992743,1.3697317399650584e-119,9.141288643214984e-100
30,0,-12.5,-113.02319117300496,0.0,-116.51991688795232,-2.468271080376408,0.0,2.468271080376408,1,0,-2.2934078546013024e-14,-3.941871249973521e-49,-9.978402566382623e-113,-2.2934078546013024e-14,-9.262354293313647e-99,0.0,3.1809567418541143,3.1809567418541143,2.8756939892838895e-122,5.341193971670988e-102
